sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
10,10,0.1,0.1,0.08,0.02,1.0,HDy,1.0,0.83
10,10,0.1,0.1,0.05,0.05,0.9,DyS,,0.88
10,10,0.1,0.1,0.3,0.2,0.8,SORD,0.5,0.69
10,10,0.1,0.1,0.36,0.26,0.7,SMM,0.4,0.5
1,10,0.15,0.1,0.3,0.2,0.8,CC,0.5,0.5
1,10,0.15,0.1,0.13,0.03,1.0,ACC,1.0,0.75
1,10,0.15,0.1,0.04,0.06,0.9,X,,0.88
1,10,0.15,0.1,0.13,0.03,1.0,MAX,1.0,0.75
1,10,0.15,0.1,0.0,0.1,0.9,T50,,0.88
1,10,0.15,0.1,0.06,0.04,1.0,MS,1.0,0.75
1,10,0.15,0.1,0.03,0.07,0.9,HDy,,0.88
1,10,0.15,0.1,0.02,0.08,0.9,DyS,,0.88
1,10,0.15,0.1,0.06,0.04,1.0,SORD,1.0,0.75
1,10,0.15,0.1,0.22,0.12,0.9,SMM,0.67,0.59
2,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
2,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.97
2,10,0.15,0.1,0.04,0.06,0.9,X,,0.97
2,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.97
2,10,0.15,0.1,0.15,0.05,1.0,T50,1.0,0.75
2,10,0.15,0.1,0.0,0.1,0.9,MS,,0.97
2,10,0.15,0.1,0.03,0.07,0.9,HDy,,0.97
2,10,0.15,0.1,0.03,0.07,0.9,DyS,,0.97
2,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.97
2,10,0.15,0.1,0.1,0.0,1.0,SMM,1.0,0.75
3,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
3,10,0.15,0.1,0.0,0.1,0.9,ACC,1.0,0.98
3,10,0.15,0.1,0.0,0.1,0.9,X,1.0,0.98
3,10,0.15,0.1,0.0,0.1,0.9,MAX,1.0,0.98
3,10,0.15,0.1,0.15,0.05,1.0,T50,1.0,0.75
3,10,0.15,0.1,0.0,0.1,0.9,MS,1.0,0.98
3,10,0.15,0.1,0.11,0.01,1.0,HDy,1.0,0.75
3,10,0.15,0.1,0.15,0.05,1.0,DyS,1.0,0.75
3,10,0.15,0.1,0.0,0.1,0.9,SORD,1.0,0.98
3,10,0.15,0.1,0.14,0.04,1.0,SMM,1.0,0.75
4,10,0.15,0.1,0.5,0.4,0.6,CC,0.33,0.5
4,10,0.15,0.1,0.43,0.33,0.7,ACC,0.33,0.56
4,10,0.15,0.1,0.34,0.24,0.8,X,0.5,0.62
4,10,0.15,0.1,0.43,0.33,0.7,MAX,0.33,0.56
4,10,0.15,0.1,0.15,0.05,0.8,T50,,0.88
4,10,0.15,0.1,0.17,0.07,0.9,MS,0.67,0.75
4,10,0.15,0.1,0.06,0.04,0.8,HDy,,0.88
4,10,0.15,0.1,0.05,0.05,0.9,DyS,,0.94
4,10,0.15,0.1,0.22,0.12,0.9,SORD,0.67,0.75
4,10,0.15,0.1,0.31,0.21,0.8,SMM,0.5,0.62
5,10,0.15,0.1,0.3,0.2,0.8,CC,0.5,0.5
5,10,0.15,0.1,0.13,0.03,0.8,ACC,,0.98
5,10,0.15,0.1,0.19,0.09,0.9,X,0.67,0.94
5,10,0.15,0.1,0.13,0.03,0.8,MAX,,0.98
5,10,0.15,0.1,0.56,0.46,0.5,T50,0.25,0.12
5,10,0.15,0.1,0.21,0.11,0.9,MS,0.67,0.94
5,10,0.15,0.1,0.46,0.36,0.6,HDy,0.33,0.16
5,10,0.15,0.1,0.4,0.3,0.7,DyS,0.4,0.25
5,10,0.15,0.1,0.18,0.08,0.9,SORD,0.67,0.94
5,10,0.15,0.1,0.32,0.22,0.8,SMM,0.5,0.5
6,10,0.15,0.1,0.4,0.3,0.7,CC,0.4,0.5
6,10,0.15,0.1,0.28,0.18,0.8,ACC,0.5,0.75
6,10,0.15,0.1,0.19,0.09,0.9,X,0.67,0.94
6,10,0.15,0.1,0.28,0.18,0.8,MAX,0.5,0.75
6,10,0.15,0.1,0.56,0.46,0.5,T50,0.29,0.06
6,10,0.15,0.1,0.22,0.12,0.9,MS,0.67,0.94
6,10,0.15,0.1,0.21,0.11,0.9,HDy,0.67,0.94
6,10,0.15,0.1,0.23,0.13,0.9,DyS,0.67,0.94
6,10,0.15,0.1,0.23,0.13,0.9,SORD,0.67,0.94
6,10,0.15,0.1,0.32,0.22,0.8,SMM,0.5,0.75
7,10,0.15,0.1,0.4,0.3,0.7,CC,0.4,0.5
7,10,0.15,0.1,0.28,0.18,0.8,ACC,0.5,0.59
7,10,0.15,0.1,0.19,0.09,0.7,X,,0.75
7,10,0.15,0.1,0.28,0.18,0.8,MAX,0.5,0.59
7,10,0.15,0.1,0.15,0.05,0.8,T50,,0.88
7,10,0.15,0.1,0.22,0.12,0.7,MS,,0.75
7,10,0.15,0.1,0.18,0.08,0.7,HDy,,0.75
7,10,0.15,0.1,0.14,0.04,0.8,DyS,,0.88
7,10,0.15,0.1,0.22,0.12,0.7,SORD,,0.75
7,10,0.15,0.1,0.34,0.24,0.8,SMM,0.5,0.59
8,10,0.15,0.1,0.3,0.2,0.6,CC,,0.5
8,10,0.15,0.1,0.13,0.03,0.8,ACC,,0.88
8,10,0.15,0.1,0.19,0.09,0.7,X,,0.81
8,10,0.15,0.1,0.13,0.03,0.8,MAX,,0.88
8,10,0.15,0.1,0.0,0.1,0.9,T50,,0.94
8,10,0.15,0.1,0.22,0.12,0.7,MS,,0.81
8,10,0.15,0.1,0.21,0.11,0.7,HDy,,0.81
8,10,0.15,0.1,0.21,0.11,0.7,DyS,,0.81
8,10,0.15,0.1,0.21,0.11,0.7,SORD,,0.81
8,10,0.15,0.1,0.38,0.28,0.5,SMM,,0.38
9,10,0.15,0.1,0.3,0.2,0.8,CC,0.5,0.5
9,10,0.15,0.1,0.13,0.03,0.8,ACC,,0.91
9,10,0.15,0.1,0.19,0.09,0.9,X,0.67,0.75
9,10,0.15,0.1,0.13,0.03,0.8,MAX,,0.91
9,10,0.15,0.1,0.15,0.05,0.8,T50,,0.91
9,10,0.15,0.1,0.08,0.02,0.8,MS,,0.91
9,10,0.15,0.1,0.06,0.04,0.8,HDy,,0.91
9,10,0.15,0.1,0.04,0.06,0.9,DyS,,0.94
9,10,0.15,0.1,0.08,0.02,0.8,SORD,,0.91
9,10,0.15,0.1,0.23,0.13,0.9,SMM,0.67,0.75
10,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
10,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.75
10,10,0.15,0.1,0.04,0.06,0.9,X,,0.75
10,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.75
10,10,0.15,0.1,0.0,0.1,0.9,T50,,0.75
10,10,0.15,0.1,0.0,0.1,0.9,MS,,0.75
10,10,0.15,0.1,0.02,0.08,0.9,HDy,,0.75
10,10,0.15,0.1,0.01,0.09,0.9,DyS,,0.75
10,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.75
10,10,0.15,0.1,0.1,0.0,1.0,SMM,1.0,0.62
1,10,0.2,0.2,0.5,0.3,0.7,CC,0.57,0.5
1,10,0.2,0.2,0.43,0.23,0.8,ACC,0.67,0.88
1,10,0.2,0.2,0.49,0.29,0.7,X,0.57,0.5
1,10,0.2,0.2,0.43,0.23,0.8,MAX,0.67,0.88
1,10,0.2,0.2,0.77,0.57,0.4,T50,0.4,0.06
1,10,0.2,0.2,0.51,0.31,0.7,MS,0.57,0.5
1,10,0.2,0.2,0.71,0.51,0.5,HDy,0.44,0.25
1,10,0.2,0.2,0.61,0.41,0.6,DyS,0.5,0.28
1,10,0.2,0.2,0.5,0.3,0.7,SORD,0.57,0.5
1,10,0.2,0.2,0.53,0.33,0.7,SMM,0.57,0.5
2,10,0.2,0.2,0.1,0.1,0.9,CC,0.67,0.5
