,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
269,7,10,0.1,0.1,0.18,0.08,0.9,SMM,0.67,0.47
270,8,10,0.1,0.1,0.0,0.1,0.9,CC,,0.5
271,8,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.5
272,8,10,0.1,0.1,0.0,0.1,0.9,X,,0.5
273,8,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.5
274,8,10,0.1,0.1,0.0,0.1,0.9,T50,,0.5
275,8,10,0.1,0.1,0.0,0.1,0.9,MS,,0.5
276,8,10,0.1,0.1,0.02,0.08,0.9,HDy,,0.5
277,8,10,0.1,0.1,0.01,0.09,0.9,DyS,,0.5
278,8,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.5
279,8,10,0.1,0.1,0.01,0.09,0.9,SMM,,0.5
280,9,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
281,9,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.98
282,9,10,0.1,0.1,0.0,0.1,0.9,X,,0.98
283,9,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.98
284,9,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.12
285,9,10,0.1,0.1,0.0,0.1,0.9,MS,,0.98
286,9,10,0.1,0.1,0.07,0.03,1.0,HDy,1.0,0.5
287,9,10,0.1,0.1,0.07,0.03,1.0,DyS,1.0,0.5
288,9,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.98
289,9,10,0.1,0.1,0.08,0.02,1.0,SMM,1.0,0.5
290,10,10,0.1,0.1,0.1,0.0,0.8,CC,,0.5
291,10,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.75
292,10,10,0.1,0.1,0.0,0.1,0.9,X,,0.75
293,10,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.75
294,10,10,0.1,0.1,0.0,0.1,0.9,T50,,0.75
295,10,10,0.1,0.1,0.0,0.1,0.9,MS,,0.75
296,10,10,0.1,0.1,0.02,0.08,0.9,HDy,,0.75
297,10,10,0.1,0.1,0.01,0.09,0.9,DyS,,0.75
298,10,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.75
299,10,10,0.1,0.1,0.09,0.01,0.8,SMM,,0.5
300,1,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
301,1,10,0.15,0.1,0.12,0.02,1.0,ACC,1.0,0.88
302,1,10,0.15,0.1,0.11,0.01,1.0,X,1.0,0.88
303,1,10,0.15,0.1,0.11,0.01,1.0,MAX,1.0,0.88
304,1,10,0.15,0.1,0.21,0.11,0.9,T50,0.67,0.5
305,1,10,0.15,0.1,0.18,0.08,0.9,MS,0.67,0.5
306,1,10,0.15,0.1,0.09,0.01,1.0,HDy,1.0,0.88
307,1,10,0.15,0.1,0.11,0.01,1.0,DyS,1.0,0.88
308,1,10,0.15,0.1,0.0,0.1,0.9,SORD,1.0,0.98
309,1,10,0.15,0.1,0.23,0.13,0.9,SMM,0.67,0.5
310,2,10,0.15,0.1,0.1,0.0,1.0,CC,1.0,0.5
311,2,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.97
312,2,10,0.15,0.1,0.0,0.1,0.9,X,,0.97
313,2,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.97
314,2,10,0.15,0.1,0.21,0.11,0.9,T50,0.67,0.25
315,2,10,0.15,0.1,0.01,0.09,0.9,MS,,0.97
316,2,10,0.15,0.1,0.05,0.05,1.0,HDy,1.0,0.5
317,2,10,0.15,0.1,0.05,0.05,0.9,DyS,,0.97
318,2,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.97
319,2,10,0.15,0.1,0.11,0.01,1.0,SMM,1.0,0.5
320,3,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
321,3,10,0.15,0.1,0.12,0.02,0.8,ACC,,0.88
322,3,10,0.15,0.1,0.11,0.01,0.8,X,,0.88
323,3,10,0.15,0.1,0.11,0.01,0.8,MAX,,0.88
324,3,10,0.15,0.1,0.0,0.1,0.9,T50,,0.94
325,3,10,0.15,0.1,0.09,0.01,0.8,MS,,0.88
326,3,10,0.15,0.1,0.01,0.09,0.9,HDy,,0.94
327,3,10,0.15,0.1,0.01,0.09,0.9,DyS,,0.94
328,3,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.94
329,3,10,0.15,0.1,0.13,0.03,0.8,SMM,,0.88
330,4,10,0.15,0.1,0.0,0.1,0.9,CC,,0.5
331,4,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.5
332,4,10,0.15,0.1,0.0,0.1,0.9,X,,0.5
333,4,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.5
334,4,10,0.15,0.1,0.0,0.1,0.9,T50,,0.5
335,4,10,0.15,0.1,0.0,0.1,0.9,MS,,0.5
336,4,10,0.15,0.1,0.02,0.08,0.9,HDy,,0.5
337,4,10,0.15,0.1,0.01,0.09,0.9,DyS,,0.5
