sample,Test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier
1,10,0.2,0.2,0.22,0.02,0.8,SORD
1,10,0.2,0.2,0.29,0.09,0.9,SMM
2,10,0.2,0.2,0.3,0.1,0.9,CC
2,10,0.2,0.2,0.22,0.02,0.9,ACC
2,10,0.2,0.2,0.33,0.13,0.9,PCC
2,10,0.2,0.2,0.25,0.05,0.9,PACC
2,10,0.2,0.2,0.02,0.18,0.8,X
2,10,0.2,0.2,0.25,0.05,0.9,MAX
2,10,0.2,0.2,0.2,0.0,0.8,T50
2,10,0.2,0.2,0.13,0.07,0.9,MS
2,10,0.2,0.2,0.33,0.13,0.9,HDy
2,10,0.2,0.2,0.27,0.07,0.9,DyS
2,10,0.2,0.2,0.11,0.09,0.9,SORD
2,10,0.2,0.2,0.26,0.06,0.9,SMM
3,10,0.2,0.2,0.1,0.1,0.9,CC
3,10,0.2,0.2,0.25,0.05,1.0,PCC
3,10,0.2,0.2,0.16,0.04,1.0,PACC
3,10,0.2,0.2,0.02,0.18,0.9,X
3,10,0.2,0.2,0.01,0.19,0.9,MAX
3,10,0.2,0.2,0.2,0.0,1.0,T50
3,10,0.2,0.2,0.05,0.15,0.9,MS
3,10,0.2,0.2,0.13,0.07,1.0,HDy
3,10,0.2,0.2,0.13,0.07,1.0,DyS
3,10,0.2,0.2,0.04,0.16,0.9,SORD
3,10,0.2,0.2,0.16,0.04,1.0,SMM
4,10,0.2,0.2,0.1,0.1,0.9,CC
4,10,0.2,0.2,0.3,0.1,0.9,PCC
4,10,0.2,0.2,0.21,0.01,0.9,PACC
4,10,0.2,0.2,0.02,0.18,0.9,X
4,10,0.2,0.2,0.01,0.19,0.9,MAX
4,10,0.2,0.2,0.2,0.0,1.0,T50
4,10,0.2,0.2,0.08,0.12,0.9,MS
4,10,0.2,0.2,0.14,0.06,1.0,HDy
4,10,0.2,0.2,0.14,0.06,1.0,DyS
4,10,0.2,0.2,0.07,0.13,0.9,SORD
4,10,0.2,0.2,0.21,0.01,0.9,SMM
5,10,0.2,0.2,0.3,0.1,0.9,CC
5,10,0.2,0.2,0.22,0.02,0.9,ACC
5,10,0.2,0.2,0.43,0.23,0.8,PCC
5,10,0.2,0.2,0.37,0.17,0.8,PACC
5,10,0.2,0.2,0.26,0.06,0.9,X
5,10,0.2,0.2,0.25,0.05,0.9,MAX
5,10,0.2,0.2,0.39,0.19,0.8,T50
5,10,0.2,0.2,0.3,0.1,0.9,MS
5,10,0.2,0.2,0.37,0.17,0.8,HDy
5,10,0.2,0.2,0.37,0.17,0.8,DyS
5,10,0.2,0.2,0.28,0.08,0.9,SORD
5,10,0.2,0.2,0.38,0.18,0.8,SMM
6,10,0.2,0.2,0.3,0.1,0.9,CC
6,10,0.2,0.2,0.22,0.02,1.0,ACC
6,10,0.2,0.2,0.4,0.2,0.8,PCC
6,10,0.2,0.2,0.34,0.14,0.8,PACC
6,10,0.2,0.2,0.14,0.06,1.0,X
6,10,0.2,0.2,0.13,0.07,1.0,MAX
6,10,0.2,0.2,0.39,0.19,0.8,T50
6,10,0.2,0.2,0.26,0.06,1.0,MS
6,10,0.2,0.2,0.28,0.08,1.0,HDy
6,10,0.2,0.2,0.28,0.08,1.0,DyS
6,10,0.2,0.2,0.23,0.03,1.0,SORD
6,10,0.2,0.2,0.35,0.15,0.8,SMM
7,10,0.2,0.2,0.3,0.1,0.9,CC
7,10,0.2,0.2,0.22,0.02,0.9,ACC
7,10,0.2,0.2,0.45,0.25,0.7,PCC
7,10,0.2,0.2,0.4,0.2,0.8,PACC
7,10,0.2,0.2,0.26,0.06,0.9,X
7,10,0.2,0.2,0.25,0.05,0.9,MAX
7,10,0.2,0.2,0.39,0.19,0.8,T50
7,10,0.2,0.2,0.31,0.11,0.8,MS
7,10,0.2,0.2,0.42,0.22,0.7,HDy
7,10,0.2,0.2,0.43,0.23,0.7,DyS
7,10,0.2,0.2,0.3,0.1,0.9,SORD
7,10,0.2,0.2,0.41,0.21,0.7,SMM
8,10,0.2,0.2,0.3,0.1,0.9,CC
8,10,0.2,0.2,0.22,0.02,1.0,ACC
8,10,0.2,0.2,0.48,0.28,0.8,PCC
8,10,0.2,0.2,0.44,0.24,0.8,PACC
8,10,0.2,0.2,0.26,0.06,1.0,X
8,10,0.2,0.2,0.25,0.05,1.0,MAX
8,10,0.2,0.2,0.39,0.19,0.8,T50
8,10,0.2,0.2,0.36,0.16,0.8,MS
8,10,0.2,0.2,0.42,0.22,0.8,HDy
8,10,0.2,0.2,0.42,0.22,0.8,DyS
8,10,0.2,0.2,0.31,0.11,0.8,SORD
8,10,0.2,0.2,0.45,0.25,0.8,SMM
9,10,0.2,0.2,0.3,0.1,0.9,CC
9,10,0.2,0.2,0.22,0.02,0.9,ACC
9,10,0.2,0.2,0.34,0.14,0.8,PCC
9,10,0.2,0.2,0.26,0.06,0.9,PACC
9,10,0.2,0.2,0.26,0.06,0.9,X
9,10,0.2,0.2,0.25,0.05,0.9,MAX
9,10,0.2,0.2,0.2,0.0,0.8,T50
9,10,0.2,0.2,0.15,0.05,0.8,MS
9,10,0.2,0.2,0.14,0.06,0.8,HDy
9,10,0.2,0.2,0.18,0.02,0.8,DyS
9,10,0.2,0.2,0.14,0.06,0.8,SORD
